"name","label","type","fieldType","options"
"ai_call_type_confidence","AI Call Type Confidence","number","number",""
"ai_client_engagement_level","AI Client Engagement Level","number","number",""
"ai_complaint_detected","AI Complaint Detected","enumeration","select","Yes=Yes; No=No; Unclear=Unclear"
"ai_consultation_likelihood_to_close","Ai Consultation Likelihood To Close","number","number",""
"ai_consultation_outcome","AI Consultation Outcome","enumeration","select","Proceed now=Proceed now; Likely=Likely; Unclear=Unclear; Not now=Not now; No fit=No fit"
"ai_consultation_required_materials","AI Consultation Required Materials","string","textarea",""
"ai_customer_sentiment","AI Customer Sentiment","enumeration","select","Positive=Positive; Neutral=Neutral; Negative=Negative"
"ai_data_points_captured","AI Data Points Captured","string","textarea",""
"ai_decision_criteria","AI Decision Criteria","string","text",""
"ai_escalation_notes","AI Escalation Notes","string","textarea",""
"ai_escalation_required","AI Escalation Required","enumeration","select","Yes=Yes; No=No; Monitor=Monitor"
"ai_follow_up_close_likelihood","AI Follow-Up Close Likelihood","number","number",""
"ai_follow_up_objections_remaining","AI Follow-Up Objections Remaining","string","text",""
"ai_follow_up_required_materials","AI Follow-Up Required Materials","string","text",""
"ai_improvement_areas","AI Improvement Areas","string","textarea",""
"ai_inferred_call_type","AI Inferred Call Type","enumeration","select","Qualification call=Qualification call; Initial Consultation=Initial Consultation; Follow up call=Follow up call; Application meeting=Application meeting; Strategy call=Strategy call; Annual Review=Annual Review; Existing customer call=Existing customer call; Other=Other"
"ai_key_achievements","AI Key Achievements","string","textarea",""
"ai_key_objections","AI Key Objections (Concise)","string","text",""
"ai_missing_information","AI Missing Information","string","textarea",""
"ai_next_steps","AI Next Steps","string","text",""
"ai_objection_categories","AI Objection Categories","enumeration","checkbox","Price=Price; Timing=Timing; Risk=Risk; Complexity=Complexity; Authority=Authority; Clarity=Clarity"
"ai_objection_severity","AI Objection Severity","enumeration","select","Low=Low; Medium=Medium; High=High"
"ai_objections_bullets","AI Objections (Bullets)","string","textarea",""
"ai_primary_objection","AI Primary Objection","string","text",""
"ai_product_interest","AI Product Interest","enumeration","select","FIC=FIC; SSAS=SSAS; Both=Both"
"ai_recommendations_provided","AI Recommendations Provided","string","textarea",""
"ai_satisfaction_level","AI Satisfaction Level","number","number",""
"ai_strategy_focus_areas","AI Strategy Focus Areas","string","textarea",""
"ai_transcript","Ai Transcript","string","textarea",""
"call_owner___historic","Call Owner - Historic","string","text",""
"call_transcript_text","Call Transcript Text","string","textarea",""
"chat_gpt___increase_likelihood_of_sale_suggestions","Chat GPT - Increase likelihood of sale suggestions","string","textarea",""
"chat_gpt___likeliness_to_proceed_score","Chat GPT - Likeliness to proceed score","number","number",""
"chat_gpt___sales_performance","Chat GPT - Sales Performance Score","number","number",""
"chat_gpt___score_reasoning","Chat GPT - Score reasoning","string","textarea",""
"did_the_consultant_ask_at_least_one_open_ended_question_to_understand_the_clients_needs_","Did the consultant ask at least one open-ended question to understand the clients needs?","string","text",""
"did_the_consultant_establish_rapport_or_attempt_to_build_trust_early_in_the_call_","Did the consultant establish rapport or attempt to build trust early in the call?","string","text",""
"did_the_consultant_introduce_themselves_clearly_and_professionally_","Did the consultant introduce themselves clearly and professionally?","string","text",""
"hs_activity_type","Call and meeting type","enumeration","select","Qualification Call=Qualification Call; Initial Consultation=Initial Consultation; Follow Up=Follow Up; Application Completion=Application Completion; Strategy Call=Strategy Call; Annual Review=Annual Review; Existing Customer Call=Existing Customer Call"
"hs_all_accessible_team_ids","All teams","enumeration","select",""
