"name","label","type","fieldType","groupName","createdAt","updatedAt"
"ai_call_type_confidence","AI Call Type Confidence","number","number","ai_routing","2025-10-24T23:43:07.373Z","2025-10-24T23:43:07.373Z"
"ai_client_engagement_level","AI Client Engagement Level","number","number","ai_strategy_call","2025-10-25T00:01:34.636Z","2025-10-25T00:13:57.706Z"
"ai_complaint_detected","AI Complaint Detected","enumeration","select","ai_existing_customer_call","2025-10-25T00:04:56.046Z","2025-10-25T00:04:56.046Z"
"ai_consultation_likelihood_to_close","Ai Consultation Likelihood To Close","number","number","ai_initial_consult","2025-10-25T12:28:51.653Z","2025-10-25T12:31:27.359Z"
"ai_consultation_outcome","AI Consultation Outcome","enumeration","select","ai_initial_consult","2025-10-24T23:49:59.463Z","2025-10-25T00:10:40.983Z"
"ai_consultation_required_materials","AI Consultation Required Materials","string","textarea","ai_initial_consult","2025-10-25T12:30:57.791Z","2025-10-25T12:31:27.359Z"
"ai_customer_sentiment","AI Customer Sentiment","enumeration","select","ai_existing_customer_call","2025-10-25T00:04:15.660Z","2025-10-25T00:04:15.660Z"
"ai_data_points_captured","AI Data Points Captured","string","textarea","ai_application_meeting","2025-10-24T23:58:17.921Z","2025-10-24T23:58:17.921Z"
"ai_decision_criteria","AI Decision Criteria","string","text","ai_initial_consult","2025-10-24T23:52:19.045Z","2025-10-25T00:11:45.121Z"
"ai_escalation_notes","AI Escalation Notes","string","textarea","ai_existing_customer_call","2025-10-25T00:05:58.786Z","2025-10-25T00:05:58.786Z"
"ai_escalation_required","AI Escalation Required","enumeration","select","ai_existing_customer_call","2025-10-25T00:05:35.244Z","2025-10-25T00:05:35.244Z"
"ai_follow_up_close_likelihood","AI Follow-Up Close Likelihood","number","number","ai_follow_up","2025-10-24T23:54:20.926Z","2025-10-25T00:12:20.731Z"
"ai_follow_up_objections_remaining","AI Follow-Up Objections Remaining","string","text","ai_follow_up","2025-10-24T23:55:21.077Z","2025-10-25T00:12:20.731Z"
"ai_follow_up_required_materials","AI Follow-Up Required Materials","string","text","ai_follow_up","2025-10-24T23:56:12.876Z","2025-10-24T23:56:12.876Z"
"ai_improvement_areas","AI Improvement Areas","string","textarea","ai_annual_review","2025-10-25T00:03:16.955Z","2025-10-25T00:03:16.955Z"
"ai_inferred_call_type","AI Inferred Call Type","enumeration","select","ai_routing","2025-10-24T23:41:53.921Z","2025-10-24T23:41:53.921Z"
"ai_key_achievements","AI Key Achievements","string","textarea","ai_annual_review","2025-10-25T00:02:50.167Z","2025-10-25T00:02:50.167Z"
"ai_key_objections","AI Key Objections (Concise)","string","text","ai_initial_consult","2025-10-24T23:51:51.069Z","2025-10-25T00:11:28.764Z"
"ai_missing_information","AI Missing Information","string","textarea","ai_application_meeting","2025-10-24T23:58:53.565Z","2025-10-24T23:58:53.565Z"
"ai_next_steps","AI Next Steps","string","text","ai_application_meeting","2025-10-24T23:59:36.024Z","2025-10-24T23:59:36.024Z"
"ai_objection_categories","AI Objection Categories","enumeration","checkbox","ai_objections","2025-10-24T23:45:48.080Z","2025-10-25T00:10:14.596Z"
"ai_objection_severity","AI Objection Severity","enumeration","select","ai_objections","2025-10-24T23:47:25.186Z","2025-10-25T00:10:14.596Z"
"ai_objections_bullets","AI Objections (Bullets)","string","textarea","ai_objections","2025-10-24T23:44:05.516Z","2025-10-25T00:10:14.596Z"
"ai_primary_objection","AI Primary Objection","string","text","ai_objections","2025-10-24T23:46:26.143Z","2025-10-25T00:10:14.596Z"
"ai_product_interest","AI Product Interest","enumeration","select","ai_initial_consult","2025-10-24T23:51:03.762Z","2025-10-25T00:11:12.568Z"
"ai_recommendations_provided","AI Recommendations Provided","string","textarea","ai_strategy_call","2025-10-25T00:01:04.473Z","2025-10-25T00:13:42.340Z"
"ai_satisfaction_level","AI Satisfaction Level","number","number","ai_annual_review","2025-10-25T00:02:24.595Z","2025-10-25T00:02:24.595Z"
"ai_strategy_focus_areas","AI Strategy Focus Areas","string","textarea","ai_strategy_call","2025-10-25T00:00:31.728Z","2025-10-25T00:13:25.319Z"
"ai_transcript","Ai Transcript","string","textarea","callinformation","2025-10-24T21:29:38.523Z","2025-10-24T21:29:38.523Z"
"call_owner___historic","Call Owner - Historic","string","text","callinformation","2025-05-21T15:32:56.882Z","2025-05-21T15:32:56.882Z"
"call_transcript_text","Call Transcript Text","string","textarea","callinformation","2025-09-12T11:11:48.592Z","2025-09-12T11:11:48.592Z"
"chat_gpt___increase_likelihood_of_sale_suggestions","Chat GPT - Increase likelihood of sale suggestions","string","textarea","callinformation","2025-09-12T08:30:46.641Z","2025-09-12T08:30:46.641Z"
"chat_gpt___likeliness_to_proceed_score","Chat GPT - Likeliness to proceed score","number","number","sales_performance_analysis_-_call","2025-09-16T19:31:51.010Z","2025-09-16T19:31:51.010Z"
"chat_gpt___sales_performance","Chat GPT - Sales Performance Score","number","number","sales_performance_analysis_-_call","2025-09-16T19:39:01.362Z","2025-09-16T19:39:18.932Z"
"chat_gpt___score_reasoning","Chat GPT - Score reasoning","string","textarea","callinformation","2025-09-12T08:30:08.388Z","2025-09-12T08:30:08.388Z"
"did_the_consultant_ask_at_least_one_open_ended_question_to_understand_the_clients_needs_","Did the consultant ask at least one open-ended question to understand the clients needs?","string","text","sales_performance_analysis_-_call","2025-09-16T18:48:28.438Z","2025-09-16T18:48:28.438Z"
"did_the_consultant_establish_rapport_or_attempt_to_build_trust_early_in_the_call_","Did the consultant establish rapport or attempt to build trust early in the call?","string","text","sales_performance_analysis_-_call","2025-09-16T18:47:51.886Z","2025-09-16T18:47:51.886Z"
"did_the_consultant_introduce_themselves_clearly_and_professionally_","Did the consultant introduce themselves clearly and professionally?","string","text","sales_performance_analysis_-_call","2025-09-16T18:46:49.462Z","2025-09-16T18:47:21.101Z"
"hs_activity_type","Call and meeting type","enumeration","select","engagement","2019-12-12T14:41:18.828Z","2025-03-18T22:36:37.786Z"
"hs_all_accessible_team_ids","All teams","enumeration","select","engagement","2019-12-12T14:41:18.091Z","2024-08-28T22:14:26.856Z"
"hs_all_assigned_business_unit_ids","Business units","enumeration","checkbox","callinformation",,
"hs_all_owner_ids","All owner IDs","enumeration","select","engagement","2019-12-12T14:41:18.115Z","2024-12-03T13:10:05.796Z"
"hs_all_team_ids","All team IDs","enumeration","select","engagement","2019-12-12T14:41:17.921Z","2024-08-28T22:14:26.856Z"
"hs_at_mentioned_owner_ids","At-Mentioned Owner Ids","enumeration","checkbox","engagement","2019-12-12T14:41:18.408Z","2025-03-18T22:36:37.786Z"
"hs_attachment_ids","Attached file IDs","enumeration","checkbox","engagement","2019-12-12T14:41:18.484Z","2024-11-05T15:13:57.323Z"
"hs_body_preview_is_truncated","Body Preview Truncated","bool","booleancheckbox","engagement","2019-12-12T14:41:18.509Z","2025-03-18T22:36:37.786Z"
"hs_call_app_id","Integrating App ID","number","number","call","2021-02-11T18:41:15.066Z","2025-03-18T22:36:37.786Z"
"hs_call_authed_url_provider","Authenticated recording files url provider","string","text","call","2020-11-18T23:03:07.403Z","2025-03-18T22:36:37.786Z"
"hs_call_callee_object_id","Callee object id","number","number","call","2019-12-12T14:41:17.997Z","2025-03-18T22:36:37.786Z"
"hs_call_callee_object_type","Callee object type","enumeration","select","call","2019-12-12T14:41:18.780Z","2025-03-18T22:36:37.786Z"
"hs_call_deal_stage_during_call","Deal Stage During Call","enumeration","radio","call","2023-04-06T14:14:23.359Z","2025-10-03T21:09:14.151Z"
"hs_call_direction","Call direction","enumeration","select","call","2021-12-09T18:59:00.209Z","2025-03-18T22:36:37.786Z"
