"name","label","type","fieldType","groupName","createdAt","updatedAt"
"advert_url","Advert URL","string","text","lead_information","2025-05-27T07:48:22.804Z","2025-05-27T07:48:22.804Z"
"already_a_customer","Already a Customer","enumeration","booleancheckbox","lead_information","2025-07-25T16:23:23.617Z","2025-07-25T16:23:23.617Z"
"anticipated_corporation_tax_bill_this_year","Anticipated corporation tax bill this year","number","number","lead_information","2025-04-30T20:23:56.883Z","2025-04-30T20:23:56.883Z"
"approximate_pension_value","Approximate pension value","number","number","lead_information","2025-04-30T20:24:38.739Z","2025-04-30T20:24:38.739Z"
"are_you_a_company_director_","Are you a company director?","string","text","lead_information","2025-04-30T20:22:31.175Z","2025-04-30T20:22:31.175Z"
"call_requested___lead","Lead Requested Call","enumeration","select","lead_information","2025-09-02T06:10:57.301Z","2025-09-02T08:00:55.527Z"
"do_not_use_this_form___use_create_contact_form","DO NOT USE THIS FORM - USE CREATE CONTACT FORM","number","number","lead_information","2025-06-29T12:23:54.354Z","2025-06-29T12:23:54.354Z"
"do_you_have_a_corporation_tax_bill_of_over__20_000_","Do you have a Corporation Tax bill of over £20,000?","enumeration","radio","contact_sync_properties","2025-08-20T07:35:59.097Z","2025-08-20T07:35:59.097Z"
"do_you_have_children_","Do you have children?","enumeration","select","lead_information","2025-04-30T20:26:17.449Z","2025-04-30T20:26:17.449Z"
"how_would_you_like_to_receive_your_content___cloned_","How would you like to receive your content? (lead)","enumeration","radio","lead_information","2025-10-23T10:06:00.259Z","2025-10-23T10:07:45.511Z"
"hs_all_accessible_team_ids","All teams","enumeration","checkbox","lead_information",,
"hs_all_assigned_business_unit_ids","Brands","enumeration","checkbox","lead_information","1970-01-01T00:00:00Z","2024-08-06T20:56:06.560Z"
"hs_all_owner_ids","All owner IDs","enumeration","checkbox","lead_information",,
"hs_all_team_ids","All team IDs","enumeration","checkbox","lead_information",,
"hs_associated_company_domain","Associated Company Domain","string","text","lead_information","2023-05-31T14:23:33.011Z","2023-05-31T14:23:33.011Z"
"hs_associated_company_name","Company","string","calculation_rollup","lead_information","2023-05-11T17:56:49.833Z","2025-03-14T18:52:06.820Z"
"hs_associated_contact_email","Associated Contact Email","string","text","lead_information","2023-05-31T14:30:27.121Z","2023-05-31T14:30:27.121Z"
"hs_associated_contact_firstname","Associated Contact First Name","string","calculation_rollup","lead_information","2023-05-11T16:17:13.880Z","2023-05-11T18:48:34.621Z"
"hs_associated_contact_lastname","Associated Contact Last Name","string","","lead_information","2023-05-11T16:29:11.991Z","2023-05-11T16:29:11.991Z"
"hs_calls_attempted_count","Attempted calls count","number","calculation_rollup","lead_information","2024-10-18T15:06:24.484Z","2025-03-19T17:03:14.280Z"
"hs_calls_connected_count","Calls Connected Count","number","calculation_rollup","lead_information","2023-06-30T16:31:11.314Z","2023-06-30T16:31:11.314Z"
"hs_company_analytics_source","Primary company analytics source","string","text","lead_information","2023-10-03T14:35:05.910Z","2023-10-03T14:35:05.910Z"
"hs_company_analytics_source_data_1","Primary company analytics source first drilldown","string","text","lead_information","2023-10-03T14:36:42.501Z","2023-10-03T14:36:42.501Z"
"hs_company_analytics_source_data_2","Primary company analytics source second drilldown","string","text","lead_information","2023-10-03T14:51:40.059Z","2023-10-03T14:51:40.059Z"
"hs_company_is_target_account","Is Target Account","string","calculation_rollup","lead_information","2023-09-13T17:46:25.571Z","2024-03-11T21:43:16.140Z"
"hs_company_last_activity_date","Company Last Activity Date","datetime","date","lead_information","2023-07-12T15:09:28.498Z","2024-03-20T04:02:36.041Z"
"hs_company_last_engagement_timestamp","Company Last Engagement Date","datetime","calculation_rollup","lead_information","2023-09-18T20:04:16.872Z","2024-03-11T21:42:27.938Z"
"hs_company_last_engagement_type","Company Last Engagement Type","enumeration","calculation_rollup","lead_information","2023-09-18T20:10:24.890Z","2024-06-11T18:56:29.091Z"
"hs_company_last_webpage_visit_timestamp","Company Time of Last Session","datetime","calculation_rollup","lead_information","2023-09-26T23:16:33.106Z","2024-03-11T21:45:36.473Z"
"hs_company_next_activity_date","Company Next Activity Date","datetime","date","lead_information","2023-07-11T17:47:01.170Z","2024-06-03T14:29:47.460Z"
"hs_company_next_activity_type","Company Next Activity Type","enumeration","calculation_rollup","lead_information","2024-02-26T19:18:55.293Z","2025-03-19T17:03:14.280Z"
