"name","label","type","fieldType","groupName","createdAt","updatedAt"
"activity_name","Activity Name","string","text","sales_scorecards_information","2025-10-25T11:51:35.703Z","2025-10-25T11:51:35.703Z"
"activity_type","Activity Type","string","text","sales_scorecards_information","2025-09-16T16:31:35.540Z","2025-09-16T16:31:35.540Z"
"ai_consultation_likelihood_to_close","AI Consultation Likelihood to Close (1–10)","number","number","ai_consultation_insights","2025-10-25T12:47:45.039Z","2025-10-25T12:47:45.039Z"
"ai_consultation_outcome","AI Consultation Outcome","enumeration","select","ai_consultation_insights","2025-10-25T12:47:43.752Z","2025-10-25T12:47:43.752Z"
"ai_consultation_required_materials","AI Consultation Required Materials","string","textarea","ai_consultation_insights","2025-10-25T12:47:45.701Z","2025-10-25T12:47:45.701Z"
"ai_decision_criteria","AI Decision Criteria","string","text","ai_consultation_insights","2025-10-25T12:47:44.290Z","2025-10-25T12:47:44.290Z"
"ai_key_objections","AI Key Objections","string","text","ai_consultation_insights","2025-10-25T12:47:44.684Z","2025-10-25T12:47:44.684Z"
"ai_next_steps","AI Next Steps","string","text","ai_consultation_insights","2025-10-25T12:47:45.366Z","2025-10-25T12:47:45.366Z"
"ai_qualification_decision_criteria","Ai Qualification Decision Criteria","string","textarea","ai_qualification_insights","2025-10-27T12:37:03.668Z","2025-10-27T12:37:03.668Z"
"ai_qualification_key_objections","Ai Qualification Key Objections","string","textarea","ai_qualification_insights","2025-10-27T12:38:38.436Z","2025-10-27T12:38:38.436Z"
"ai_qualification_likelihood_to_proceed","Ai Qualification Likelihood to proceed","number","number","ai_qualification_insights","2025-10-27T12:27:11.124Z","2025-10-27T12:27:11.124Z"
"ai_qualification_next_steps","ai Qualification Next Steps","string","textarea","ai_qualification_insights","2025-10-27T12:39:29.874Z","2025-10-27T12:39:29.874Z"
"ai_qualification_outcome","Ai Qualification Outcome","enumeration","select","ai_qualification_insights","2025-10-27T12:32:50.105Z","2025-10-27T12:32:50.105Z"
